1463.2,13.935
1484.2,14.135
1505.3,14.336
1526.3,14.536
1547.4,14.737
1568.4,14.937
1589.5,15.138
1610.5,15.338
1631.6,15.539
1652.6,15.739
1673.7,15.94
1694.7,16.14
1715.8,16.341
1736.8,16.541
1757.9,16.742
1778.9,16.942
1800,17.143
1821.1,17.343
1842.1,17.544
1863.2,17.744
1884.2,17.945
1905.3,18.145
1926.3,18.346
1947.4,18.546
1968.4,18.747
1989.5,18.947
2010.5,19.148
2031.6,19.348
2052.6,19.549
2073.7,19.749
2094.7,19.95
2115.8,20.15
2136.8,20.351
2157.9,20.551
2178.9,20.752
2200,20.952
2221.1,21.153
2242.1,21.353
2263.2,21.554
2284.2,21.754
2305.3,21.955
2326.3,22.155
2347.4,22.356
2368.4,22.556
2389.5,22.757
2410.5,22.957
2431.6,23.158
2452.6,23.358
2473.7,23.559
2494.7,23.759
2515.8,23.96
2536.8,24.16
2557.9,24.361
2578.9,24.561
2600,24.762
2621.1,24.962
2642.1,25.163
2663.2,25.363
2684.2,25.564
2705.3,25.764
2726.3,25.965
2747.4,26.165
2768.4,26.366
2789.5,26.566
2810.5,26.767
2831.6,26.967
2852.6,27.168
2873.7,27.368
2894.7,27.569
2915.8,27.769
2936.8,27.97
2957.9,28.17
2978.9,28.371
3000,28.571
3021.1,28.772
3042.1,28.972
3063.2,29.173
3084.2,29.373
3105.3,29.574
3126.3,29.774
3147.4,29.975
3168.4,30.175
3189.5,30.376
3210.5,30.576
3231.6,30.777
3252.6,30.977
3273.7,31.178
3294.7,31.378
3315.8,31.579
3336.8,31.779
3357.9,31.98
3378.9,32.18
3400,32.381
3421.1,32.581
3442.1,32.782
3463.2,32.982
3484.2,33.183
3505.3,33.383
3526.3,33.584
3547.4,33.784
3568.4,33.985
3589.5,34.185
3610.5,34.386
3631.6,34.586
3652.6,34.787
3673.7,34.987
3694.7,35.188
3715.8,35.388
3736.8,35.589
3757.9,35.789
3778.9,35.99
3800,36.19
3821.1,36.391
3842.1,36.591
3863.2,36.792
3884.2,36.992
3905.3,37.193
3926.3,37.393
3947.4,37.594
3968.4,37.794
3989.5,37.995
4010.5,38.195
4031.6,38.396
4052.6,38.596
4073.7,38.797
4094.7,38.997
4115.8,39.198
4136.8,39.398
4157.9,39.599
4178.9,39.799
4200,40
